,donor,sample,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,gabe_label,mni_nlin_x,mni_nlin_y,mni_nlin_z
30,10021,648,4267,13,7065,CX,DG,"dentate gyrus, right",1025587,71,106,91,26.1,-15.7,-18.2,H0351.2002,27.694690610730802,-16.9244480511335,-19.63635654152861
31,10021,730,4265,16,7376,CX,CA3,"CA3 field, right",1032337,80,99,108,16.2,-34.1,-8.3,H0351.2002,18.191103488315,-33.560473387906896,-8.98314534318963
32,10021,736,4256,16,7421,CX,CA3,"CA3 field, left",1025259,116,95,111,-24.2,-37.9,-3.3,H0351.2002,-27.31560364891261,-38.7630486967457,-5.49340593610225
33,10021,754,4264,16,7368,CX,CA2,"CA2 field, right",1032306,76,98,108,20.7,-34.0,-7.1,H0351.2002,22.75457058519569,-33.3653792735362,-7.83518037240718
34,10021,781,4254,16,7405,CX,CA1,"CA1 field, left",1025261,116,98,112,-24.1,-39.1,-6.7,H0351.2002,-26.64343253419489,-39.9687852681123,-8.970303806882841
35,10021,782,4255,16,7413,CX,CA2,"CA2 field, left",1025260,118,95,112,-26.4,-39.1,-3.2,H0351.2002,-29.131239903234896,-40.0881753111416,-5.70977851790314
36,10021,783,4257,16,7429,CX,CA4,"CA4 field, left",1025284,115,96,111,-23.0,-37.9,-4.5,H0351.2002,-26.140404326264896,-38.63926450818779,-6.59187622661825
37,10021,784,4258,16,7437,CX,DG,"dentate gyrus, left",1025285,114,96,111,-21.9,-37.9,-4.5,H0351.2002,-25.095828721354998,-38.2533526570001,-6.317119891657961
38,10021,794,4251,16,7397,CX,S,"subiculum, left",1025262,111,98,110,-18.5,-36.9,-6.9,H0351.2002,-21.7146187099972,-35.77392886244429,-7.94797155553282
39,10021,872,4264,13,7073,CX,CA2,"CA2 field, right",1025580,70,103,91,27.2,-15.6,-14.6,H0351.2002,28.8596828623106,-16.889587610695,-16.105829961133498
40,10021,873,4266,13,7081,CX,CA4,"CA4 field, right",1025582,70,106,91,27.2,-15.7,-18.2,H0351.2002,28.936770432237488,-16.6694014816244,-19.4977144527938
41,10021,876,4256,13,7010,CX,CA3,"CA3 field, left",1029979,117,102,92,-25.5,-17.5,-13.4,H0351.2002,-27.661061987719197,-17.6157031393003,-15.5289129730939
42,10021,888,4260,13,7009,CX,S,"subiculum, right",1026201,75,110,91,21.7,-15.9,-22.9,H0351.2002,22.7741685763802,-16.8249032526187,-24.6313966782626
43,10021,889,4263,13,7017,CX,CA1,"CA1 field, right",1025579,75,104,91,21.6,-15.7,-15.8,H0351.2002,22.3581440236662,-18.197153572931,-17.3263046768073
44,12876,124,4258,8,13762,CX,DG,"dentate gyrus, left",1288532,123,108,126,-32.0,-35.0,1.0,H0351.1009,-26.206096196112398,-38.9880440138922,-1.99212989551472
45,12876,125,4257,8,13754,CX,CA4,"CA4 field, left",1288537,124,107,126,-33.0,-35.0,2.0,H0351.1009,-27.0702366552578,-38.7640687425129,-0.838839736475002
46,12876,126,4254,8,13730,CX,CA1,"CA1 field, left",1288898,130,112,126,-39.0,-35.0,-3.0,H0351.1009,-32.6291313206604,-38.66201894143921,-4.72223672798617
47,12876,135,4258,7,13721,CX,DG,"dentate gyrus, left",1278237,121,123,111,-30.0,-20.0,-14.0,H0351.1009,-27.7634191784728,-22.5526975256674,-14.6768421430089
48,12876,136,4255,7,13697,CX,CA2,"CA2 field, left",1278251,123,121,111,-32.0,-20.0,-12.0,H0351.1009,-29.472951507364396,-22.5931623085896,-12.764643450829999
49,12876,137,4254,7,13689,CX,CA1,"CA1 field, left",1278252,127,124,111,-36.0,-20.0,-15.0,H0351.1009,-33.3809897460399,-22.676629190351488,-15.3250160424737
50,12876,181,4256,8,13746,CX,CA3,"CA3 field, left",1288533,123,106,126,-32.0,-35.0,3.0,H0351.1009,-26.117554866294398,-38.8252376584672,-0.0516245237556929
51,12876,182,4255,8,13738,CX,CA2,"CA2 field, left",1288534,120,101,126,-29.0,-35.0,8.0,H0351.1009,-23.2750241552978,-38.6483889551115,4.402805507601
52,12876,183,4251,8,13722,CX,S,"subiculum, left",1288900,116,109,126,-25.0,-35.0,0.0,H0351.1009,-20.3578716081491,-38.953400610867796,-3.87878840905694
53,12876,184,4254,6,13634,CX,CA1,"CA1 field, left",1289062,118,133,100,-27.0,-9.0,-24.0,H0351.1009,-28.284005851306,-9.506506726759687,-23.650747422492
54,12876,185,4254,6,13626,CX,CA1,"CA1 field, left",1288915,117,133,100,-26.0,-9.0,-24.0,H0351.1009,-27.3495052038976,-9.41731479488482,-23.754127435085202
55,12876,186,4251,6,13618,CX,S,"subiculum, left",1288914,109,135,100,-18.0,-9.0,-26.0,H0351.1009,-19.8954998304206,-9.30126441655648,-26.4790490831292
56,12876,194,4256,7,13705,CX,CA3,"CA3 field, left",1278250,120,121,111,-29.0,-20.0,-12.0,H0351.1009,-26.8199645983963,-22.5015226997053,-12.7978558171383
57,12876,195,4251,7,13681,CX,S,"subiculum, left",1278253,118,129,111,-27.0,-20.0,-20.0,H0351.1009,-25.800707779435296,-21.9355649657334,-19.8016913572243
58,14380,67,4257,10,139379850,CX,CA4,"CA4 field, left",112954868,121,118,117,-30.0,-26.0,-9.0,H0351.1012,-29.733307690583896,-26.0196879776549,-12.2549777534359
59,14380,68,4255,10,139379810,CX,CA2,"CA2 field, left",113044491,126,116,117,-35.0,-26.0,-7.0,H0351.1012,-33.786987050163305,-25.972972134074997,-8.874284990177651
60,14380,70,4257,10,139379764,CX,CA4,"CA4 field, left",113266083,120,118,117,-29.0,-26.0,-9.0,H0351.1012,-28.8236635360496,-25.963530315969898,-12.410080104230799
61,14380,94,4257,11,139379786,CX,CA4,"CA4 field, left",113213777,115,104,129,-24.0,-38.0,5.0,H0351.1012,-22.381445489180496,-37.1947125107395,1.44541167914421
62,14380,95,4258,11,139379802,CX,DG,"dentate gyrus, left",112429620,114,105,129,-23.0,-38.0,4.0,H0351.1012,-21.595412881467105,-37.2710073226847,0.339741172230493
63,14380,97,4256,11,139379906,CX,CA3,"CA3 field, left",113355697,114,104,129,-23.0,-38.0,5.0,H0351.1012,-21.4884370035431,-37.0784083775846,1.5321805420789
64,14380,194,4256,9,127687558,CX,CA3,"CA3 field, left",113670035,119,125,109,-28.0,-18.0,-16.0,H0351.1012,-29.105525645676888,-17.5336900119825,-18.414584193059397
65,14380,195,4255,9,127687526,CX,CA2,"CA2 field, left",113667270,124,123,109,-33.0,-18.0,-14.0,H0351.1012,-33.4462657145851,-18.1069595275158,-15.8509587594644
66,14380,199,4254,9,127687637,CX,CA1,"CA1 field, left",1408736,126,126,109,-35.0,-18.0,-17.0,H0351.1012,-36.1983590337625,-18.4024723829052,-18.5634271938117
67,14380,495,4257,9,127687542,CX,CA4,"CA4 field, left",113670034,119,126,109,-28.0,-18.0,-17.0,H0351.1012,-29.220976786051803,-17.4787111734503,-19.2871372071877
68,14380,496,4258,9,127687510,CX,DG,"dentate gyrus, left",1408739,116,126,109,-25.0,-18.0,-17.0,H0351.1012,-26.47666461407209,-17.2541379041573,-19.669110252154397
69,14380,497,4251,9,127687621,CX,S,"subiculum, left",1408735,115,129,109,-24.0,-18.0,-20.0,H0351.1012,-25.765630234327002,-17.3069324863655,-22.4204274932793
70,14380,509,4258,10,139379866,CX,DG,"dentate gyrus, left",1406549,121,119,117,-30.0,-26.0,-10.0,H0351.1012,-29.8843162491961,-26.1468751085627,-13.271377784195002
71,14380,510,4256,10,139379834,CX,CA3,"CA3 field, left",113185243,122,117,117,-31.0,-26.0,-8.0,H0351.1012,-30.50774962204461,-25.960402580498705,-11.0203604996193
72,14380,511,4254,10,139379794,CX,CA1,"CA1 field, left",113185244,124,121,117,-33.0,-26.0,-12.0,H0351.1012,-33.134336383911,-26.3398482986628,-14.648491193217303
73,14380,512,4251,10,139379778,CX,S,"subiculum, left",113185245,114,119,117,-23.0,-26.0,-10.0,H0351.1012,-23.54153386911649,-25.5779341036974,-13.5141117759894
